Trial_Name,Fields_Count,Trial,Response_Time,Response_Size
1campos,1,1,0.30612683296203613,69
1campos,1,2,0.29872703552246094,69
1campos,1,3,0.27919936180114746,69
1campos,1,4,0.2789297103881836,69
1campos,1,5,0.2612118721008301,69
1campos,1,6,0.2789947986602783,69
1campos,1,7,0.2743518352508545,69
1campos,1,8,0.2667701244354248,69
1campos,1,9,0.27385449409484863,69
1campos,1,10,0.2692413330078125,69
1campos,1,11,0.2683243751525879,69
1campos,1,12,0.292116641998291,69
1campos,1,13,0.29033374786376953,69
1campos,1,14,0.32801055908203125,69
1campos,1,15,0.3016030788421631,69
1campos,1,16,0.26868343353271484,69
1campos,1,17,0.2717130184173584,69
1campos,1,18,0.26879048347473145,69
1campos,1,19,0.3293170928955078,69
1campos,1,20,0.2923448085784912,69
1campos,1,21,0.3040785789489746,69
1campos,1,22,0.28625035285949707,69
1campos,1,23,0.286470890045166,69
1campos,1,24,0.26894497871398926,69
1campos,1,25,0.2960367202758789,69
1campos,1,26,0.26702284812927246,69
1campos,1,27,0.2551581859588623,69
1campos,1,28,0.2872166633605957,69
1campos,1,29,0.32029175758361816,69
1campos,1,30,0.2908313274383545,69
2campos,2,1,0.28818202018737793,104
2campos,2,2,0.31798553466796875,104
2campos,2,3,0.28493547439575195,104
2campos,2,4,0.3216273784637451,104
2campos,2,5,0.2991163730621338,104
2campos,2,6,0.2900209426879883,104
2campos,2,7,0.2925684452056885,104
2campos,2,8,0.3104276657104492,104
2campos,2,9,0.329791784286499,104
2campos,2,10,0.3049285411834717,104
2campos,2,11,0.27146172523498535,104
2campos,2,12,0.33951616287231445,104
2campos,2,13,0.27362728118896484,104
2campos,2,14,0.28647494316101074,104
2campos,2,15,0.2951340675354004,104
2campos,2,16,0.27028393745422363,104
2campos,2,17,0.33698582649230957,104
2campos,2,18,0.30884814262390137,104
2campos,2,19,0.28734779357910156,104
2campos,2,20,0.3419208526611328,104
2campos,2,21,0.2931058406829834,104
2campos,2,22,0.27394533157348633,104
2campos,2,23,0.3229391574859619,104
2campos,2,24,0.3145751953125,104
2campos,2,25,0.3602914810180664,104
2campos,2,26,0.2962827682495117,104
2campos,2,27,0.35791993141174316,104
2campos,2,28,0.30011510848999023,104
2campos,2,29,0.2746424674987793,104
2campos,2,30,0.28896403312683105,104
3campos,3,1,0.2651350498199463,139
3campos,3,2,0.3391704559326172,139
3campos,3,3,0.2639930248260498,139
3campos,3,4,0.2714099884033203,139
3campos,3,5,0.29122114181518555,139
3campos,3,6,0.4627676010131836,139
3campos,3,7,0.29459428787231445,139
3campos,3,8,0.3162250518798828,139
3campos,3,9,0.26997876167297363,139
3campos,3,10,0.2852468490600586,139
3campos,3,11,0.3272120952606201,139
3campos,3,12,0.41617846488952637,139
3campos,3,13,0.2884674072265625,139
3campos,3,14,0.2936239242553711,139
3campos,3,15,0.30802488327026367,139
3campos,3,16,0.3219716548919678,139
3campos,3,17,0.2776298522949219,139
3campos,3,18,0.27669572830200195,139
3campos,3,19,0.30222082138061523,139
3campos,3,20,0.30324816703796387,139
3campos,3,21,0.3208959102630615,139
3campos,3,22,0.3123962879180908,139
3campos,3,23,0.29871249198913574,139
3campos,3,24,0.2851846218109131,139
3campos,3,25,0.2801783084869385,139
3campos,3,26,0.2894918918609619,139
3campos,3,27,0.32251763343811035,139
3campos,3,28,0.2785625457763672,139
3campos,3,29,0.2973625659942627,139
3campos,3,30,0.2932267189025879,139
4campos,4,1,0.4605131149291992,158
4campos,4,2,0.27578306198120117,158
4campos,4,3,0.2883927822113037,158
4campos,4,4,0.386688232421875,158
4campos,4,5,0.29872775077819824,158
4campos,4,6,0.29047393798828125,158
4campos,4,7,0.2785465717315674,158
4campos,4,8,0.28899216651916504,158
4campos,4,9,0.41205525398254395,158
4campos,4,10,0.270219087600708,158
4campos,4,11,0.28978776931762695,158
4campos,4,12,0.28600454330444336,158
4campos,4,13,0.29392409324645996,158
4campos,4,14,0.28700852394104004,158
4campos,4,15,0.3094203472137451,158
4campos,4,16,0.2919154167175293,158
4campos,4,17,0.30701136589050293,158
4campos,4,18,0.3622884750366211,158
4campos,4,19,0.26261329650878906,158
4campos,4,20,0.31934213638305664,158
4campos,4,21,0.2797815799713135,158
4campos,4,22,0.30448246002197266,158
4campos,4,23,0.28012728691101074,158
4campos,4,24,0.38821983337402344,158
4campos,4,25,0.293529748916626,158
4campos,4,26,0.2913827896118164,158
4campos,4,27,0.2904834747314453,158
4campos,4,28,0.29834437370300293,158
4campos,4,29,0.3181629180908203,158
4campos,4,30,0.2933049201965332,158
5campos,5,1,0.3041703701019287,172
5campos,5,2,0.28968381881713867,172
5campos,5,3,0.29515790939331055,172
5campos,5,4,0.44666433334350586,172
5campos,5,5,0.29369449615478516,172
5campos,5,6,0.2942633628845215,172
5campos,5,7,0.3455805778503418,172
5campos,5,8,0.25652194023132324,172
5campos,5,9,0.30191755294799805,172
5campos,5,10,0.29108095169067383,172
5campos,5,11,0.3172612190246582,172
5campos,5,12,0.2859663963317871,172
5campos,5,13,0.2899892330169678,172
5campos,5,14,0.25583744049072266,172
5campos,5,15,0.30985331535339355,172
5campos,5,16,0.2897825241088867,172
5campos,5,17,0.3207395076751709,172
5campos,5,18,0.2864401340484619,172
5campos,5,19,0.2801640033721924,172
5campos,5,20,0.3434607982635498,172
5campos,5,21,0.32561779022216797,172
5campos,5,22,0.2922189235687256,172
5campos,5,23,0.27952027320861816,172
5campos,5,24,0.27963948249816895,172
5campos,5,25,0.3056175708770752,172
5campos,5,26,0.3526315689086914,172
5campos,5,27,0.30956172943115234,172
5campos,5,28,0.26169514656066895,172
5campos,5,29,0.2851555347442627,172
5campos,5,30,0.28635525703430176,172
6campos,9,1,0.30480527877807617,200
6campos,9,2,0.3186991214752197,200
6campos,9,3,0.3136172294616699,200
6campos,9,4,0.3299591541290283,200
6campos,9,5,0.297971248626709,200
6campos,9,6,0.3228416442871094,200
6campos,9,7,0.32592010498046875,200
6campos,9,8,0.29426145553588867,200
6campos,9,9,0.35550737380981445,200
6campos,9,10,0.3096199035644531,200
6campos,9,11,0.3033792972564697,200
6campos,9,12,0.2977263927459717,200
6campos,9,13,0.28830838203430176,200
6campos,9,14,0.2870948314666748,200
6campos,9,15,0.2882876396179199,200
6campos,9,16,0.319366455078125,200
6campos,9,17,0.28188109397888184,200
6campos,9,18,0.33965325355529785,200
6campos,9,19,0.2936279773712158,200
6campos,9,20,0.32571959495544434,200
6campos,9,21,0.32784104347229004,200
6campos,9,22,0.30684661865234375,200
6campos,9,23,0.30473971366882324,200
6campos,9,24,0.27264928817749023,200
6campos,9,25,0.31147027015686035,200
6campos,9,26,0.3157966136932373,200
6campos,9,27,0.32113170623779297,200
6campos,9,28,0.29287195205688477,200
6campos,9,29,0.2843618392944336,200
6campos,9,30,0.29932665824890137,200
7campos,13,1,0.28528475761413574,226
7campos,13,2,0.28039073944091797,226
7campos,13,3,0.29035162925720215,226
7campos,13,4,0.32595252990722656,226
7campos,13,5,0.2763853073120117,226
7campos,13,6,0.31739234924316406,226
7campos,13,7,0.32314586639404297,226
7campos,13,8,0.29908227920532227,226
7campos,13,9,0.2985050678253174,226
7campos,13,10,0.34840869903564453,226
7campos,13,11,0.3250601291656494,226
7campos,13,12,0.29712986946105957,226
7campos,13,13,0.2972862720489502,226
7campos,13,14,0.30012941360473633,226
7campos,13,15,0.30437397956848145,226
7campos,13,16,0.3142976760864258,226
7campos,13,17,0.3670954704284668,226
7campos,13,18,0.2945897579193115,226
7campos,13,19,0.3271956443786621,226
7campos,13,20,0.31284618377685547,226
7campos,13,21,0.30425000190734863,226
7campos,13,22,0.31029462814331055,226
7campos,13,23,0.31363677978515625,226
7campos,13,24,0.3358638286590576,226
7campos,13,25,0.3682105541229248,226
7campos,13,26,0.38628649711608887,226
7campos,13,27,0.2858138084411621,226
7campos,13,28,0.3971583843231201,226
7campos,13,29,0.30206918716430664,226
7campos,13,30,0.29544878005981445,226
8campos,17,1,0.3204832077026367,258
8campos,17,2,0.29502081871032715,258
8campos,17,3,0.3265645503997803,258
8campos,17,4,0.34454894065856934,258
8campos,17,5,0.4282059669494629,258
8campos,17,6,0.3631906509399414,258
8campos,17,7,0.3044779300689697,258
8campos,17,8,0.3274967670440674,258
8campos,17,9,0.3689537048339844,258
8campos,17,10,0.32651305198669434,258
8campos,17,11,0.2998995780944824,258
8campos,17,12,0.30504870414733887,258
8campos,17,13,0.32925915718078613,258
8campos,17,14,0.3093128204345703,258
8campos,17,15,0.3224678039550781,258
8campos,17,16,0.3585631847381592,258
8campos,17,17,0.33867359161376953,258
8campos,17,18,0.305279016494751,258
8campos,17,19,0.30675196647644043,258
8campos,17,20,0.3726315498352051,258
8campos,17,21,0.40553784370422363,258
8campos,17,22,0.3032419681549072,258
8campos,17,23,0.3157651424407959,258
8campos,17,24,0.403125524520874,258
8campos,17,25,0.3745138645172119,258
8campos,17,26,0.3036179542541504,258
8campos,17,27,0.3423149585723877,258
8campos,17,28,0.38218021392822266,258
8campos,17,29,0.31707048416137695,258
8campos,17,30,0.32847166061401367,258
9campos,29,1,0.32511329650878906,322
9campos,29,2,0.337507963180542,322
9campos,29,3,0.3212289810180664,322
9campos,29,4,0.3769803047180176,322
9campos,29,5,0.31662678718566895,322
9campos,29,6,0.3287513256072998,322
9campos,29,7,0.3090834617614746,322
9campos,29,8,0.35008955001831055,322
9campos,29,9,0.4235188961029053,322
9campos,29,10,0.37733030319213867,322
9campos,29,11,0.3254995346069336,322
9campos,29,12,0.3380162715911865,322
9campos,29,13,0.34491682052612305,322
9campos,29,14,0.32808494567871094,322
9campos,29,15,0.3157496452331543,322
9campos,29,16,0.33816051483154297,322
9campos,29,17,0.5030298233032227,322
9campos,29,18,0.3687736988067627,322
9campos,29,19,0.3660871982574463,322
9campos,29,20,0.3344416618347168,322
9campos,29,21,0.3997035026550293,322
9campos,29,22,0.30734729766845703,322
9campos,29,23,0.3156919479370117,322
9campos,29,24,0.33861875534057617,322
9campos,29,25,0.3610098361968994,322
9campos,29,26,0.355419397354126,322
9campos,29,27,0.33941149711608887,322
9campos,29,28,0.30382418632507324,322
9campos,29,29,0.3204493522644043,322
9campos,29,30,0.3903236389160156,322
10campos,40,1,0.3147890567779541,354
10campos,40,2,0.2929868698120117,354
10campos,40,3,0.4195113182067871,354
10campos,40,4,0.40727806091308594,354
10campos,40,5,0.32037854194641113,354
10campos,40,6,0.2984275817871094,354
10campos,40,7,0.3465402126312256,354
10campos,40,8,0.4344515800476074,354
10campos,40,9,0.3325366973876953,354
10campos,40,10,0.3177051544189453,354
10campos,40,11,0.32465314865112305,354
10campos,40,12,0.3515641689300537,354
10campos,40,13,0.3263723850250244,354
10campos,40,14,0.3023514747619629,354
10campos,40,15,0.4389927387237549,354
